time,50km/S1/100mh/200ohm,50km/S1/100mh/5ohm,50km/S1/160mh/0.01ohm,50km/S1/160mh/200ohm,50km/S1/160mh/25ohm,50km/S1/160mh/5ohm,50km/S1/40mh/200ohm,550km/S1/100mh/5ohm,550km/S1/160mh/0.01ohm,550km/S1/160mh/200ohm,550km/S1/160mh/25ohm,550km/S1/160mh/5ohm,700km/S1/160mh/0.01ohm,700km/S1/160mh/200ohm,700km/S1/160mh/25ohm,700km/S1/160mh/5ohm
2.499,0.245311436826,0.245311436826,0.245105669627,0.245105669627,0.245105669627,0.245105669627,0.245105669627,0.245452206804,0.2451881228,0.2451881228,0.2451881228,0.2451881228,0.245158679194,0.245158679194,0.245158679194,0.245158679194
2.5,0.245324865148,0.245324865148,0.245247655873,0.245247655873,0.245247655873,0.245247655873,0.245247655873,0.245258045356,0.245544316312,0.245544316312,0.245544316312,0.245544316312,0.245469204309,0.245469204309,0.245469204309,0.245469204309
2.501,0.453557410291,0.496880878331,0.408252335091,0.378317645955,0.379799073917,0.401268411352,0.378317645955,0.24515362616,0.245478808699,0.245478808699,0.245478808699,0.245478808699,0.245351259144,0.245351259144,0.245351259144,0.245351259144
2.502,0.610494685329,1.0467899058,0.906970070028,0.574288047005,0.843228370122,0.893572697268,0.574288047005,0.246446229538,0.24655167274,0.24619066725,0.246426013928,0.246448576109,0.245763430218,0.245763430218,0.245763430218,0.245763430218
2.503,0.643581509873,1.25352217561,1.17334121302,0.622189970875,1.03387077268,1.14163482043,0.622189970875,0.717282033116,0.625555208683,0.366764937892,0.55060292394,0.607884286766,0.44805269306,0.290889621163,0.398516559932,0.436333237248
2.504,0.640991747616,1.32000510742,1.29554877823,0.635510731288,1.12230491869,1.25600540977,0.635510731288,1.30026799108,1.19347547941,0.549107598108,1.00961108525,1.15033218684,0.803249705139,0.414682178577,0.690886444744,0.776822438803
2.505,0.639353262462,1.32793533032,1.33812553963,0.63908610071,1.15170724991,1.29448957709,0.63908610071,1.37948181407,1.39741430813,0.62996735799,1.18250277774,1.3473690995,1.25360170549,0.571041693401,1.05989491747,1.20808540115
2.506,0.635251532421,1.30533404269,1.34120346645,0.637701557039,1.15326165918,1.29807836226,0.637701557039,1.36572572455,1.42486949993,0.638880563749,1.20315833291,1.37316409604,1.36754126759,0.60574049379,1.14761786239,1.31571886855
2.507,0.63213744941,1.27632503263,1.32832286719,0.635060442292,1.14349753111,1.28719219595,0.635060442292,1.25931261213,1.33112022734,0.619361507073,1.13509778459,1.28634869156,1.31605856129,0.60111213724,1.11145066648,1.26734329475
2.508,0.624930863121,1.25683941483,1.3152253748,0.626193888643,1.12757224961,1.27184617406,0.626193888643,0.953375042267,1.06685461481,0.574663003268,0.946269742676,1.04061255786,1.16400157069,0.57784831001,0.998237836649,1.12422080078
2.509,0.588118424806,1.21568645174,1.27653115291,0.599109276903,1.08945485894,1.23360801632,0.599109276903,0.70936726047,0.783948139633,0.520452174395,0.734822664525,0.774741838163,0.931302620319,0.506424613928,0.809174510837,0.901699439844
2.51,0.5454565969,1.07523993243,1.16956758078,0.565433094306,1.00005334422,1.13160560772,0.565433094306,0.679999778897,0.685173905032,0.448601147932,0.617447301788,0.668778779345,0.660903337427,0.404313767316,0.57811130755,0.639579888512
2.511,0.516145239589,0.873582167093,0.986234177598,0.531653415056,0.852398980754,0.955756542114,0.531653415056,0.675978174597,0.677326646068,0.377670991962,0.567744161863,0.6490788005,0.495303821558,0.330751574872,0.427897348118,0.476911401138
2.512,0.499303965695,0.772863828776,0.811797117782,0.49395407663,0.709888147649,0.78916629968,0.49395407663,0.665985318138,0.685735071477,0.331559149995,0.542511144364,0.648865578628,0.504892157577,0.303629923639,0.414287755776,0.481059484114
2.513,0.514421728449,0.830246082388,0.73556289118,0.476334186242,0.647080620313,0.715965375621,0.476334186242,0.674221824523,0.701695811677,0.316813138701,0.538758001244,0.659737154465,0.532803742627,0.30630661241,0.43034600624,0.504893308554
2.514,0.539570966227,0.953989104998,0.775216123355,0.485334145909,0.683089897648,0.753930228703,0.485334145909,0.648266685497,0.693584948096,0.337229563386,0.551666857872,0.657574250108,0.48649021686,0.312440018808,0.409344125304,0.465078427704
2.515,0.561922550054,1.05864859659,0.880232832257,0.514838113115,0.772300386847,0.854331506303,0.514838113115,0.578494693463,0.62328446565,0.382748137199,0.565782823067,0.612759589839,0.428433188,0.326686768916,0.393174791894,0.418849538142
2.516,0.565932328893,1.11896180453,0.990565765684,0.539280504063,0.864363142933,0.961958005559,0.539280504063,0.502713135888,0.536858783507,0.433244829316,0.562757839197,0.549141206394,0.413675944446,0.354695444714,0.41340112204,0.414103730824
2.517,0.561494363969,1.13562168497,1.07084333807,0.554281041347,0.928963634446,1.03807626645,0.554281041347,0.408112920452,0.436760145045,0.459552649568,0.516104577499,0.462824849335,0.386681635934,0.389319538327,0.423643882526,0.397198520193
2.518,0.558412660081,1.09974178177,1.09880842538,0.555341755943,0.950377173473,1.06522736793,0.555341755943,0.327446674865,0.332307092766,0.455775464349,0.438110235304,0.363652717489,0.311233884766,0.419712213017,0.398988242997,0.331279726267
2.519,0.524668845462,0.998060446106,1.06679991086,0.540599552289,0.923798984303,1.03490211414,0.540599552289,0.317790048385,0.291417478534,0.439611383325,0.37720162567,0.31026865189,0.249019232571,0.436685279924,0.358539745338,0.273415867135
2.52,0.47913557781,0.816123070061,0.971896150105,0.512146694133,0.847323239282,0.945575512077,0.512146694133,0.346094277174,0.309111211661,0.4303580588,0.357904951011,0.311649527542,0.213223116106,0.436478398795,0.320099819773,0.239535145929
