time,50km/S1/100mh/200ohm,50km/S1/100mh/5ohm,50km/S1/160mh/0.01ohm,50km/S1/160mh/200ohm,50km/S1/160mh/25ohm,50km/S1/160mh/5ohm,50km/S1/40mh/200ohm,550km/S1/100mh/5ohm,550km/S1/160mh/0.01ohm,550km/S1/160mh/200ohm,550km/S1/160mh/25ohm,550km/S1/160ohm/5ohm,700km/S1/160mh/0.01ohm,700km/S1/160mh/200ohm,700km/S1/160mh/25ohm,700km/S1/160mh/5ohm
2.511,170.781411691,0.0652833672736,-9.98938368699,161.429382202,33.7640248018,0.00832805127145,161.429382202,-104.833165019,-126.183829685,180.678481633,-31.0019462977,-103.809962779,-83.85957205,182.0447367,0.015999811,-63.60321981
2.512,177.137468822,8.7173021527,-7.34022567685,169.553219854,37.7070554312,2.97071449811,169.553219854,-115.507909363,-150.423984187,169.901370088,-50.1205639797,-126.426598147,-118.5452224,177.0251524,-28.14810269,-97.08005012
2.513,179.515984562,16.1799193776,-1.55556201415,176.702519367,43.5179847477,8.72580157064,176.702519367,-75.8662433814,-148.751672812,159.840058286,-48.9617361318,-124.244120312,-138.9534407,165.8729399,-46.62531339,-117.0975504
2.514,179.820471788,17.5092997871,3.37393872246,178.497495067,47.3109426191,13.4241244938,178.497495067,16.5106893923,-41.1843401773,161.191908296,3.35514331344,-32.1403204,-130.7287492,158.3219761,-45.81198928,-110.7569638
2.515,180.616607208,15.6290215162,5.94135602866,178.583592703,48.7962556084,15.6893823964,178.583592703,51.6107368042,34.3564737884,166.052943585,45.8352589036,34.8554347871,-93.58452563,164.6752363,-20.5262219,-76.33998322
2.516,180.434531642,13.7835759662,5.9939111394,178.926770849,49.5152379148,15.828755303,178.926770849,59.0023341328,60.4668023111,174.123065908,75.1740370682,63.2540038619,-63.7666674,167.9077358,1.099035597,-48.32089032
2.517,180.784640711,11.6496728172,4.19765285841,180.064552302,49.0472304394,14.343283796,180.064552302,50.7064145554,68.143701414,177.99798338,87.8282167147,72.5631304431,-26.31160261,163.8616405,20.53031455,-15.56338917
2.518,177.938176511,7.74963963946,1.06707042845,177.661541805,45.2808184566,11.1195143081,177.661541805,2.08821951649,38.9433388055,170.737216647,69.9999296854,46.1939633543,7.977067829,152.7208199,34.48693123,12.51734942
2.519,165.57035461,2.58365384196,-2.32446532779,171.095569472,40.5945480864,7.34662803688,171.095569472,-57.1047920839,-35.8713644161,153.50607043,22.5500338464,-21.5357674484,34.52334667,139.9572733,33.92926273,30.54801779
2.52,144.993860245,-4.79656599784,-5.98857671058,156.61238316,32.7747658114,2.72614131831,156.61238316,-77.1711862708,-81.9947742056,137.174679354,-18.8558441283,-68.1360458787,26.73182856,133.032998,24.01857489,26.52945764
2.521,120.569578694,-13.4373229002,-9.9911883105,136.741738512,20.2119459867,-3.43637612764,136.741738512,-81.6657243383,-94.367959683,121.531211751,-48.7781719414,-86.4492974494,9.243451639,120.0140406,10.70865141,10.01940529
2.522,100.075705773,-11.8373438756,-14.6143853791,115.664570886,6.07843842787,-10.7270076497,115.664570886,-73.5495141327,-89.7594903866,105.078625934,-63.6561403424,-87.2473586605,-7.717965588,107.4980538,1.252617484,-4.934212213
2.523,88.9802115618,-13.8834780772,-17.3487547054,99.0039974038,-5.68741155215,-16.3395306867,99.0039974038,-45.1647010092,-58.8710066068,91.713200462,-58.4778082447,-62.4382869569,-23.9995224,99.88352464,-18.24727903,-23.99788683
2.524,84.3516994103,-15.055831403,-16.5392141795,88.2370098457,-16.2593379433,-18.5629298299,88.2370098457,-36.2290382427,-18.2505623472,80.8296446907,-41.2313389114,-25.127685696,-48.57956153,86.26690236,-45.90524601,-50.17077582
2.525,80.081898423,-12.4313747013,-17.5041708803,82.701014477,-11.5232843784,-18.2345687634,82.701014477,-59.6424321866,-12.4714275302,71.283606045,-34.6608598314,-17.5333511622,-82.3090406,69.63003337,-72.06165303,-81.16678405
2.526,76.0257422618,-9.40245578595,-10.9663738343,79.7471115706,-13.770208205,-13.2974005648,79.7471115706,-82.5846069412,-38.7670131095,61.902886777,-41.1162327013,-38.9900679769,-108.0761002,53.32150375,-92.990843,-109.1649713
2.527,72.5312397545,-8.38437171806,-6.97335795391,75.315399334,-16.9408548703,-11.3542233766,75.315399334,-96.1550480689,-70.7552717828,55.0776326707,-58.1894311595,-67.9306975975,-115.2226926,43.64247707,-101.5099118,-117.2336961
2.528,68.6597828648,-8.92559662224,-4.30192228707,69.8944641657,-19.1760428474,-10.1136450246,69.8944641657,-99.619239828,-102.55641929,50.2620852191,-75.3514494024,-97.0979709599,-102.9653993,39.75151384,-98.57467081,-106.8420545
2.529,64.8466846127,-9.97450995635,-2.53236395539,64.219133454,-20.8886204016,-9.49314607408,64.219133454,-70.0398426622,-113.608149189,49.1343821719,-83.911208772,-109.522332858,-74.06182635,42.55069296,-84.46562258,-83.32746767
2.53,62.8500770192,-8.43177585115,-1.18139240152,59.3965649613,-22.6809373029,-8.48395175889,59.3965649613,-19.8680023906,-83.4719013348,50.6352211209,-76.3207034266,-87.3629885551,-37.75238819,48.89812251,-61.91668497,-50.64569947
2.531,62.5889868188,-4.68423562317,-0.967485395722,56.4249482544,-22.8024368477,-7.78209679987,56.4249482544,23.3022614457,-26.9365203321,53.4031882161,-55.719753504,-40.1970498639,-2.095260926,54.68337623,-38.60120002,-17.55953008
2.532,63.19138489,-4.81997125305,1.80653775797,55.892081286,-19.9839582548,-5.13492021472,55.892081286,52.0615856615,24.9155316633,55.4492312824,-30.0032977083,6.35787267861,29.70057699,59.01086574,-15.08041802,14.92880211
2.533,63.8434439802,-4.19990843295,3.47473555059,57.194926832,-20.6438125646,-4.85496684385,57.194926832,67.3739462119,65.621074698,57.261844845,-5.07648492787,44.0975390287,54.00244057,61.05063787,1.046105318,37.62555412
