Domain, Vbus
2.499,314.906375591
2.5,314.886516735
2.501,42.7839267852
2.502,57.4883486035
2.503,16.6589122595
2.504,9.85259178315
2.505,11.4627556544
2.506,12.6339806109
2.507,12.1585850527
2.508,12.2323152355
2.509,8.39926809122
2.51,0.337538218764
2.511,0.0652833672736
2.512,8.7173021527
2.513,16.1799193776
2.514,17.5092997871
2.515,15.6290215162
2.516,13.7835759662
2.517,11.6496728172
2.518,7.74963963946
2.519,2.58365384196
2.52,-4.79656599784
2.521,-13.4373229002
2.522,-11.8373438756
2.523,-13.8834780772
2.524,-15.055831403
2.525,-12.4313747013
2.526,-9.40245578595
2.527,-8.38437171806
2.528,-8.92559662224
2.529,-9.97450995635
2.53,-8.43177585115
2.531,-4.68423562317
2.532,-4.81997125305
2.533,-4.19990843295
2.534,-6.51714991771
2.535,-6.95355531681
2.536,-5.64629689006
2.537,-7.92156265482
2.538,-4.69045270273
2.539,-2.83444211695
2.54,-0.172937019907
2.541,1.36133109076
2.542,2.4060646712
2.543,7.65175277124
2.544,5.50816778229
2.545,2.74648211981
2.546,5.48460985785
2.547,7.86440572562
2.548,8.52371796227
2.549,7.70580484729
2.55,7.46211009533
2.551,7.19490789601
2.552,6.02661307108
2.553,5.52261676464
2.554,6.44982816522
2.555,5.9343162322
2.556,4.3661604575
2.557,3.79437757902
2.558,3.60836463808
2.559,3.03727635859
2.56,2.99120430769
2.561,1.79890427237
2.562,0.0793717854627
2.563,-0.853887172289
2.564,-1.80973584515
2.565,-1.39499453193
2.566,-0.298450975668
2.567,-0.90137422464
2.568,-1.2420487655
2.569,-1.38945004919
2.57,-1.74871933983
2.571,-1.92762610667
2.572,-2.06370368189
2.573,-2.21483835493
2.574,-2.12495012895
2.575,-2.28649267257
2.576,-2.27661098489
2.577,-2.02475501932
2.578,-1.36544153206
2.579,-0.978881494656
2.58,-0.598565006623
2.581,-0.493151713601
2.582,-0.687718612087
2.583,-0.55582405988
2.584,-0.321014767588
2.585,0.203126482601
2.586,0.180601890769
2.587,0.498734431008
2.588,0.63707879698
2.589,0.568173139361
2.59,0.890315059661
2.591,1.01183403134
2.592,0.889124970506
2.593,1.01115602017
2.594,1.03720814396
2.595,1.05149210137
2.596,1.1520162968
2.597,1.16913690154
2.598,1.14080973845
2.599,1.15958098177
2.6,1.0291851757
2.601,0.914293213455
