Domain, Vbus
2.499,314.801541765
2.5,314.730558348
2.501,314.697081042
2.502,314.16231016
2.503,-59.6060666588
2.504,3.29187330239
2.505,10.9900670029
2.506,5.43626896702
2.507,25.7018487883
2.508,56.9724567818
2.509,-57.2995966496
2.51,-95.8806464469
2.511,-104.833165019
2.512,-115.507909363
2.513,-75.8662433814
2.514,16.5106893923
2.515,51.6107368042
2.516,59.0023341328
2.517,50.7064145554
2.518,2.08821951649
2.519,-57.1047920839
2.52,-77.1711862708
2.521,-81.6657243383
2.522,-73.5495141327
2.523,-45.1647010092
2.524,-36.2290382427
2.525,-59.6424321866
2.526,-82.5846069412
2.527,-96.1550480689
2.528,-99.619239828
2.529,-70.0398426622
2.53,-19.8680023906
2.531,23.3022614457
2.532,52.0615856615
2.533,67.3739462119
2.534,64.428575823
2.535,57.7487023436
2.536,62.0346468224
2.537,63.7927730819
2.538,54.4193754773
2.539,44.9619179267
2.54,30.8063358311
2.541,10.073933631
2.542,2.6357963833
2.543,5.70655288167
2.544,9.56815150062
2.545,16.2431678854
2.546,22.5184880969
2.547,22.3816606097
2.548,18.7188014092
2.549,12.9800183981
2.55,7.028397894
2.551,1.81602963828
2.552,-3.42234870528
2.553,-5.24119010744
2.554,-5.83260399754
2.555,-12.0497648057
2.556,-21.9373800582
2.557,-26.7911245911
2.558,-29.7736699663
2.559,-29.5592440379
2.56,-20.6300901145
2.561,-8.38616439401
2.562,-0.0199979231767
2.563,4.28578336652
2.564,5.15718472671
2.565,1.30975690858
2.566,-3.20218792438
2.567,-6.45994166486
2.568,-7.85507385475
2.569,-7.76898669737
2.57,-6.16984105461
2.571,-3.90541315537
2.572,-0.533785039893
2.573,2.63508635419
2.574,5.53724779292
2.575,8.51492528356
2.576,10.2765678892
2.577,11.2328777446
2.578,11.3942514097
2.579,10.7735900824
2.58,9.4547886808
2.581,7.89687727606
2.582,5.89525616812
2.583,4.12590288349
2.584,2.50563060499
2.585,1.11936643286
2.586,-0.0909587643123
2.587,-0.794600439167
2.588,-0.933840678917
2.589,-0.84522116158
2.59,-0.435703343944
2.591,0.482698811431
2.592,1.52066756087
2.593,2.28811641638
2.594,2.92724604235
2.595,2.73476564181
2.596,2.31236310797
2.597,1.68981797
2.598,0.732628446712
2.599,0.157336146485
2.6,-0.152708809147
2.601,-0.503197016521
