Domain, Vbus
2.499,314.9567964
2.5,314.8278335
2.501,314.7925842
2.502,315.0637676
2.503,201.846125
2.504,78.52201922
2.505,59.9515806
2.506,53.25793945
2.507,17.52608626
2.508,-18.84534352
2.509,-27.97242266
2.51,5.607766238
2.511,0.015999811
2.512,-28.14810269
2.513,-46.62531339
2.514,-45.81198928
2.515,-20.5262219
2.516,1.099035597
2.517,20.53031455
2.518,34.48693123
2.519,33.92926273
2.52,24.01857489
2.521,10.70865141
2.522,1.252617484
2.523,-18.24727903
2.524,-45.90524601
2.525,-72.06165303
2.526,-92.990843
2.527,-101.5099118
2.528,-98.57467081
2.529,-84.46562258
2.53,-61.91668497
2.531,-38.60120002
2.532,-15.08041802
2.533,1.046105318
2.534,19.8797242
2.535,36.08095443
2.536,54.41363827
2.537,60.16987376
2.538,49.98526264
2.539,44.94957538
2.54,42.47278926
2.541,38.77172229
2.542,29.16024482
2.543,19.29231026
2.544,12.02442099
2.545,4.039282889
2.546,-1.376201897
2.547,-4.641632217
2.548,-7.736201547
2.549,-7.727792603
2.55,-8.938329332
2.551,-10.82610804
2.552,-10.02061956
2.553,-9.702510118
2.554,-7.56980844
2.555,-5.525155165
2.556,-3.359154297
2.557,0.821486122
2.558,4.24846693
2.559,6.562274232
2.56,8.934202034
2.561,9.450215378
2.562,8.52646362
2.563,7.335622695
2.564,4.932630336
2.565,3.327458848
2.566,1.898613587
2.567,0.506629651
2.568,0.342908199
2.569,0.146194795
2.57,0.219368271
2.571,1.045914484
2.572,1.140761686
2.573,1.146653519
2.574,2.194962088
2.575,2.522379901
2.576,4.285110638
2.577,5.805812589
2.578,7.239367516
2.579,8.690028945
2.58,9.063843473
2.581,8.955634746
2.582,8.587714008
2.583,7.532708157
2.584,5.914596907
2.585,4.053712725
2.586,2.077541177
2.587,0.855927869
2.588,-0.227069052
2.589,-1.305687565
2.59,-1.396818214
2.591,-1.182699698
2.592,-0.842598495
2.593,0.526237922
2.594,1.666354442
2.595,2.424683314
2.596,4.058281972
2.597,4.767305733
2.598,5.227598387
2.599,5.940952755
2.6,5.388142553
2.601,4.915328605
