Domain, Vbus
2.499,314.869291142
2.5,314.867655494
2.501,56.0831790777
2.502,74.1830607906
2.503,54.9081093244
2.504,53.2454891257
2.505,52.5523248961
2.506,51.1213758872
2.507,50.2098745836
2.508,50.9699892868
2.509,50.6327850525
2.51,37.6208568642
2.511,33.7640248018
2.512,37.7070554312
2.513,43.5179847477
2.514,47.3109426191
2.515,48.7962556084
2.516,49.5152379148
2.517,49.0472304394
2.518,45.2808184566
2.519,40.5945480864
2.52,32.7747658114
2.521,20.2119459867
2.522,6.07843842787
2.523,-5.68741155215
2.524,-16.2593379433
2.525,-11.5232843784
2.526,-13.770208205
2.527,-16.9408548703
2.528,-19.1760428474
2.529,-20.8886204016
2.53,-22.6809373029
2.531,-22.8024368477
2.532,-19.9839582548
2.533,-20.6438125646
2.534,-16.8254086046
2.535,-14.6280783615
2.536,-17.1669936007
2.537,-15.1615659486
2.538,-14.0337476733
2.539,-14.8722740375
2.54,-15.0174336804
2.541,-12.3061553596
2.542,-9.81134734875
2.543,-5.77839964566
2.544,-3.12076645914
2.545,-0.646192229941
2.546,1.59819499473
2.547,3.08691862939
2.548,3.80552346663
2.549,5.82093623666
2.55,7.79195859015
2.551,9.04565718065
2.552,10.1471687208
2.553,10.4082448673
2.554,10.6366014005
2.555,10.8768502588
2.556,11.3441735093
2.557,11.0550497453
2.558,10.4243560828
2.559,10.4020340054
2.56,9.32310609662
2.561,8.38227433859
2.562,7.10670553227
2.563,5.77606575146
2.564,4.98070417344
2.565,3.82367697585
2.566,3.09352504737
2.567,2.67399077196
2.568,1.95076963523
2.569,1.82382890406
2.57,1.4017743768
2.571,1.18221579756
2.572,0.860628340758
2.573,0.669612694531
2.574,0.670460716832
2.575,0.699195792457
2.576,0.71504212478
2.577,0.788527459468
2.578,0.809040393166
2.579,0.713621741325
2.58,0.666871745893
2.581,0.645629328265
2.582,0.636181557905
2.583,0.631842629743
2.584,0.889864609934
2.585,1.06686490346
2.586,1.25780574137
2.587,1.57360738745
2.588,1.78230620569
2.589,1.9200240701
2.59,2.27722138316
2.591,2.52718780667
2.592,2.57224195877
2.593,2.81510586758
2.594,2.98602651685
2.595,3.00018006135
2.596,2.87606058568
2.597,2.84635882362
2.598,2.86662473333
2.599,2.78966387901
2.6,2.57076837665
2.601,2.48161555979
