Domain, Vbus
2.499,314.869291142
2.5,314.867655494
2.501,163.072056888
2.502,182.694104071
2.503,187.375545223
2.504,186.629347802
2.505,185.79896568
2.506,185.13890626
2.507,184.778279628
2.508,185.656885964
2.509,194.223299245
2.51,166.980886681
2.511,161.429382202
2.512,169.553219854
2.513,176.702519367
2.514,178.497495067
2.515,178.583592703
2.516,178.926770849
2.517,180.064552302
2.518,177.661541805
2.519,171.095569472
2.52,156.61238316
2.521,136.741738512
2.522,115.664570886
2.523,99.0039974038
2.524,88.2370098457
2.525,82.701014477
2.526,79.7471115706
2.527,75.315399334
2.528,69.8944641657
2.529,64.219133454
2.53,59.3965649613
2.531,56.4249482544
2.532,55.892081286
2.533,57.194926832
2.534,58.702074374
2.535,60.1847456227
2.536,61.3389862905
2.537,61.1533482904
2.538,59.9732069556
2.539,58.3042137113
2.54,56.4122949115
2.541,54.5414149315
2.542,52.1399096443
2.543,49.2109039116
2.544,45.8675613105
2.545,42.5223102511
2.546,39.6845570613
2.547,37.2986722193
2.548,35.3280467164
2.549,33.5254120181
2.55,31.8145224274
2.551,30.1276218914
2.552,28.6591821287
2.553,27.4116068789
2.554,26.728738896
2.555,26.489962586
2.556,26.1548556714
2.557,25.7372960649
2.558,25.3500588334
2.559,24.6832844089
2.56,24.1253853114
2.561,23.551846221
2.562,22.9788293586
2.563,22.226583702
2.564,21.1465783875
2.565,19.9790374966
2.566,18.6385287163
2.567,17.2141788488
2.568,15.9650148289
2.569,15.1915884188
2.57,14.6268240104
2.571,14.4085983097
2.572,14.1402739148
2.573,14.0431894554
2.574,14.1739911347
2.575,14.497962306
2.576,14.9770904719
2.577,15.6568910553
2.578,16.2382431565
2.579,16.9594972205
2.58,17.6240042458
2.581,18.1632158171
2.582,18.6973011916
2.583,19.119502081
2.584,19.4439901527
2.585,19.6482126304
2.586,19.6700115077
2.587,19.5404135251
2.588,19.3769259974
2.589,19.1093514652
2.59,18.8135549977
2.591,18.5324077972
2.592,18.188692944
2.593,17.9461513033
2.594,17.8080004224
2.595,17.6040584972
2.596,17.4138455001
2.597,17.2948765967
2.598,16.9395963143
2.599,16.7563040336
2.6,16.6134125243
2.601,16.3351965311
