Domain, Vbus
2.499,314.756084284
2.5,314.754818363
2.501,314.701949324
2.502,314.543290106
2.503,165.104938329
2.504,173.774115232
2.505,184.311655325
2.506,191.120905116
2.507,197.72630901
2.508,185.513299091
2.509,181.3142713
2.51,184.260821656
2.511,180.678481633
2.512,169.901370088
2.513,159.840058286
2.514,161.191908296
2.515,166.052943585
2.516,174.123065908
2.517,177.99798338
2.518,170.737216647
2.519,153.50607043
2.52,137.174679354
2.521,121.531211751
2.522,105.078625934
2.523,91.713200462
2.524,80.8296446907
2.525,71.283606045
2.526,61.902886777
2.527,55.0776326707
2.528,50.2620852191
2.529,49.1343821719
2.53,50.6352211209
2.531,53.4031882161
2.532,55.4492312824
2.533,57.261844845
2.534,58.9159495801
2.535,61.0076327114
2.536,63.2051401031
2.537,64.833939323
2.538,65.3190197395
2.539,64.0265768107
2.54,60.8374080809
2.541,56.4871828956
2.542,51.6569512417
2.543,47.1867025339
2.544,43.5824211055
2.545,40.1026841517
2.546,36.4628770175
2.547,32.9177397739
2.548,29.1586525082
2.549,25.5595060775
2.55,22.9865645557
2.551,21.5868570525
2.552,21.0760899734
2.553,21.3416873831
2.554,22.0943409408
2.555,22.9636294134
2.556,23.7322676935
2.557,24.5652662613
2.558,25.5569570363
2.559,26.229353777
2.56,26.4722425285
2.561,26.4204065163
2.562,25.6431706097
2.563,24.4554082947
2.564,22.9044102346
2.565,21.2441823537
2.566,19.6806853017
2.567,18.2059265162
2.568,16.9228356329
2.569,15.6894180811
2.57,14.4216788144
2.571,13.5429631271
2.572,13.2105427467
2.573,13.1106503743
2.574,13.6066691911
2.575,14.5929480988
2.576,15.6412120217
2.577,16.8148404486
2.578,18.1464382424
2.579,19.3521439571
2.58,20.2622172217
2.581,20.8567974124
2.582,21.3199452345
2.583,21.5912332015
2.584,21.6835698699
2.585,21.6864798345
2.586,21.5295149045
2.587,21.2146943352
2.588,20.8651698224
2.589,20.2161737596
2.59,19.5338915227
2.591,18.7937654416
2.592,18.0844688549
2.593,17.4967194378
2.594,17.1646133088
2.595,16.8401374523
2.596,16.7455980736
2.597,16.7185587031
2.598,16.6372598093
2.599,16.53893017
2.6,16.598552433
2.601,16.6832542422
