Domain, Ia2
2.499,0.2451881228
2.5,0.245544316312
2.501,0.245478808699
2.502,0.24619066725
2.503,0.366764937892
2.504,0.549107598108
2.505,0.62996735799
2.506,0.638880563749
2.507,0.619361507073
2.508,0.574663003268
2.509,0.520452174395
2.51,0.448601147932
2.511,0.377670991962
2.512,0.331559149995
2.513,0.316813138701
2.514,0.337229563386
2.515,0.382748137199
2.516,0.433244829316
2.517,0.459552649568
2.518,0.455775464349
2.519,0.439611383325
2.52,0.4303580588
2.521,0.415754223988
2.522,0.385373605073
2.523,0.354379521549
2.524,0.326253891626
2.525,0.313275758151
2.526,0.30928114003
2.527,0.310377450673
2.528,0.310952780768
2.529,0.310249679722
2.53,0.307191397165
2.531,0.303423820202
2.532,0.300426078368
2.533,0.298544472929
2.534,0.296232728629
2.535,0.295142343762
2.536,0.29450025055
2.537,0.293930508666
2.538,0.293078288591
2.539,0.292160823472
2.54,0.29020366531
2.541,0.28837000053
2.542,0.28540154667
2.543,0.282970350205
2.544,0.280757159969
2.545,0.277523869591
2.546,0.273968224733
2.547,0.270787783519
2.548,0.266437278188
2.549,0.262318264069
2.55,0.259732130424
2.551,0.257544311281
2.552,0.255946456158
2.553,0.254121764498
2.554,0.252623424041
2.555,0.251322813333
2.556,0.250117493578
2.557,0.249814741407
2.558,0.251573794917
2.559,0.25284881496
2.56,0.253690099522
2.561,0.255300408306
2.562,0.255529719676
2.563,0.255835373968
2.564,0.25543962811
2.565,0.254806286864
2.566,0.254238043718
2.567,0.254413989179
2.568,0.255633883046
2.569,0.25687599667
2.57,0.257053988961
2.571,0.257559930857
2.572,0.258283689108
2.573,0.258185139983
2.574,0.258770986936
2.575,0.259790078342
2.576,0.260520162655
2.577,0.261391970265
2.578,0.262611418446
2.579,0.263761428209
2.58,0.26379416522
2.581,0.262218744788
2.582,0.261000274375
2.583,0.259918870969
2.584,0.25868884188
2.585,0.25801432557
2.586,0.257759138617
2.587,0.25762050981
2.588,0.257668370596
2.589,0.25707211577
2.59,0.257380004502
2.591,0.257601824371
2.592,0.257649979545
2.593,0.257777326705
2.594,0.258299504173
2.595,0.258206789841
2.596,0.258930516448
2.597,0.259615886592
2.598,0.259837461923
2.599,0.259719713155
2.6,0.25992608242
2.601,0.259721691002
