Domain, Vbus
2.499,314.906375591
2.5,314.886516735
2.501,177.38845166
2.502,184.338624505
2.503,188.551698736
2.504,186.926414577
2.505,185.752262602
2.506,184.73506119
2.507,184.473919015
2.508,185.589382195
2.509,192.921360068
2.51,170.274626584
2.511,170.781411691
2.512,177.137468822
2.513,179.515984562
2.514,179.820471788
2.515,180.616607208
2.516,180.434531642
2.517,180.784640711
2.518,177.938176511
2.519,165.57035461
2.52,144.993860245
2.521,120.569578694
2.522,100.075705773
2.523,88.9802115618
2.524,84.3516994103
2.525,80.081898423
2.526,76.0257422618
2.527,72.5312397545
2.528,68.6597828648
2.529,64.8466846127
2.53,62.8500770192
2.531,62.5889868188
2.532,63.19138489
2.533,63.8434439802
2.534,63.8113898697
2.535,63.742928577
2.536,63.2371419804
2.537,61.9716521213
2.538,60.5566032174
2.539,58.5541883359
2.54,55.8007279916
2.541,52.4803161356
2.542,48.7626763073
2.543,45.583033654
2.544,43.1165680908
2.545,40.8232148567
2.546,39.1220684085
2.547,37.2815952289
2.548,35.3956259969
2.549,33.843849329
2.55,32.3149772822
2.551,31.219265851
2.552,30.6214754855
2.553,29.8651868439
2.554,29.3065990978
2.555,28.8127512861
2.556,28.020310417
2.557,27.3337188972
2.558,26.6067916917
2.559,25.6453570843
2.56,24.6970337682
2.561,23.6860940497
2.562,22.453058267
2.563,21.2056027815
2.564,19.8643129292
2.565,18.6680237727
2.566,17.5651969882
2.567,16.4286090249
2.568,15.4241857288
2.569,14.8226925217
2.57,14.3701099706
2.571,14.3401278321
2.572,14.5052500612
2.573,14.5615642927
2.574,14.8993023824
2.575,15.3700086436
2.576,15.8939851519
2.577,16.5687753049
2.578,16.9490522511
2.579,17.4313061456
2.58,17.8910065357
2.581,18.2364928596
2.582,18.5851038783
2.583,18.8478882542
2.584,18.919385951
2.585,19.0330282069
2.586,19.0030474177
2.587,18.8824149166
2.588,18.8032947102
2.589,18.5888451233
2.59,18.4010208663
2.591,18.2514109433
2.592,17.9954802995
2.593,17.888442411
2.594,17.803128701
2.595,17.5011236335
2.596,17.398020145
2.597,17.1592236484
2.598,16.9753708091
2.599,16.7765109254
2.6,16.4556836419
2.601,16.1947802384
