Domain, Vbus
2.499,314.9567964
2.5,314.8278335
2.501,314.7925842
2.502,315.0637676
2.503,183.5911907
2.504,40.27398012
2.505,19.89319063
2.506,5.519533341
2.507,-29.12283229
2.508,-75.13306476
2.509,-89.21432605
2.51,-49.96051385
2.511,-63.60321981
2.512,-97.08005012
2.513,-117.0975504
2.514,-110.7569638
2.515,-76.33998322
2.516,-48.32089032
2.517,-15.56338917
2.518,12.51734942
2.519,30.54801779
2.52,26.52945764
2.521,10.01940529
2.522,-4.934212213
2.523,-23.99788683
2.524,-50.17077582
2.525,-81.16678405
2.526,-109.1649713
2.527,-117.2336961
2.528,-106.8420545
2.529,-83.32746767
2.53,-50.64569947
2.531,-17.55953008
2.532,14.92880211
2.533,37.62555412
2.534,64.2735599
2.535,83.88346429
2.536,108.8206154
2.537,111.6309444
2.538,87.01929672
2.539,81.45583333
2.54,76.20231343
2.541,66.72743896
2.542,52.28752711
2.543,36.77073755
2.544,21.64100608
2.545,4.054098098
2.546,-14.15503091
2.547,-26.34066336
2.548,-33.68464459
2.549,-35.64249
2.55,-40.50386151
2.551,-43.23401126
2.552,-43.27641596
2.553,-33.79118131
2.554,-25.26618521
2.555,-16.42804861
2.556,-9.876371711
2.557,-1.969638655
2.558,4.180629134
2.559,6.491808184
2.56,8.062664144
2.561,6.205463938
2.562,1.533481769
2.563,-4.153161312
2.564,-10.21630993
2.565,-13.66915003
2.566,-14.86738348
2.567,-14.98801306
2.568,-12.68478701
2.569,-9.113229841
2.57,-3.98725355
2.571,1.907482907
2.572,6.412739264
2.573,10.43453738
2.574,14.40006861
2.575,16.45057808
2.576,18.1904068
2.577,19.11835143
2.578,18.55434813
2.579,17.74119509
2.58,15.92233293
2.581,13.70537228
2.582,11.73758599
2.583,8.236564871
2.584,4.590339916
2.585,-0.018859709
2.586,-3.404820457
2.587,-6.396184323
2.588,-8.140476657
2.589,-9.531625617
2.59,-9.519637947
2.591,-8.002403213
2.592,-6.628141441
2.593,-3.09286689
2.594,-0.421348522
2.595,1.606153072
2.596,4.140235752
2.597,5.300948336
2.598,6.014486047
2.599,6.593760596
2.6,5.780392242
2.601,4.867487566
