Domain, Vbus
2.499,314.869291142
2.5,314.867655494
2.501,18.0778956671
2.502,47.2350953492
2.503,6.0363715743
2.504,2.59738010534
2.505,4.02164832893
2.506,2.5091775551
2.507,0.965174214013
2.508,-0.0893759845221
2.509,-3.32095864726
2.51,-7.67137575727
2.511,-9.98938368699
2.512,-7.34022567685
2.513,-1.55556201415
2.514,3.37393872246
2.515,5.94135602866
2.516,5.9939111394
2.517,4.19765285841
2.518,1.06707042845
2.519,-2.32446532779
2.52,-5.98857671058
2.521,-9.9911883105
2.522,-14.6143853791
2.523,-17.3487547054
2.524,-16.5392141795
2.525,-17.5041708803
2.526,-10.9663738343
2.527,-6.97335795391
2.528,-4.30192228707
2.529,-2.53236395539
2.53,-1.18139240152
2.531,-0.967485395722
2.532,1.80653775797
2.533,3.47473555059
2.534,-0.529693468658
2.535,2.13979460087
2.536,2.45361579908
2.537,-0.811037267216
2.538,0.333816603016
2.539,2.57550125689
2.54,3.14576758515
2.541,1.6526672562
2.542,3.27166465762
2.543,6.53329676901
2.544,8.0474040998
2.545,7.64129354453
2.546,4.91746861955
2.547,4.05705215483
2.548,4.91906945297
2.549,6.68655907123
2.55,6.79082677695
2.551,5.75970375094
2.552,4.43644959037
2.553,2.94638507518
2.554,1.37170458404
2.555,1.62310681742
2.556,0.784413033354
2.557,-0.0713683129336
2.558,-1.28652538373
2.559,-1.26592313526
2.56,-1.46830088186
2.561,-2.40161728657
2.562,-2.67048165139
2.563,-2.82547648256
2.564,-2.93252927601
2.565,-3.25853730299
2.566,-3.4286653274
2.567,-2.67194266275
2.568,-3.37651396591
2.569,-2.52633640057
2.57,-1.4181079777
2.571,-1.93951770718
2.572,-2.22630143132
2.573,-3.09192303181
2.574,-2.87296693865
2.575,-2.20033586384
2.576,-1.58631457304
2.577,-1.70366514834
2.578,-0.960448359697
2.579,-0.285618977586
2.58,0.279157626638
2.581,0.753471502414
2.582,1.21867210733
2.583,1.87810270715
2.584,0.69614788611
2.585,1.59331160761
2.586,2.46891125539
2.587,1.68625861386
2.588,0.785387304161
2.589,0.890909600583
2.59,0.888238972401
2.591,0.88543999956
2.592,0.809933511056
2.593,0.857881897179
2.594,0.895331881347
2.595,1.23179849013
2.596,1.63063587465
2.597,1.99673410758
2.598,1.63676801824
2.599,1.5186616569
2.6,0.568119800791
2.601,-0.135783324333
