Domain, Ia2
2.499,0.245452206804
2.5,0.245258045356
2.501,0.24515362616
2.502,0.246446229538
2.503,0.717282033116
2.504,1.30026799108
2.505,1.37948181407
2.506,1.36572572455
2.507,1.25931261213
2.508,0.953375042267
2.509,0.70936726047
2.51,0.679999778897
2.511,0.675978174597
2.512,0.665985318138
2.513,0.674221824523
2.514,0.648266685497
2.515,0.578494693463
2.516,0.502713135888
2.517,0.408112920452
2.518,0.327446674865
2.519,0.317790048385
2.52,0.346094277174
2.521,0.337158216491
2.522,0.290975651347
2.523,0.214247797115
2.524,0.0582754723143
2.525,-0.126813293291
2.526,-0.259045009041
2.527,-0.321758301937
2.528,-0.315390748051
2.529,-0.269961775716
2.53,-0.245478223949
2.531,-0.248732683808
2.532,-0.250445046496
2.533,-0.22289644892
2.534,-0.14637770312
2.535,-0.022256057467
2.536,0.137331770519
2.537,0.246460308398
2.538,0.277830897872
2.539,0.292155878678
2.54,0.300955129425
2.541,0.335475430266
2.542,0.397032086044
2.543,0.433628895337
2.544,0.441358399731
2.545,0.437079571087
2.546,0.428880096472
2.547,0.438942768866
2.548,0.452024298531
2.549,0.449661678374
2.55,0.450344351912
2.551,0.447324679441
2.552,0.438245027408
2.553,0.432723998008
2.554,0.418015651303
2.555,0.373707204399
2.556,0.313781692626
2.557,0.275596385106
2.558,0.257451526999
2.559,0.245533740523
2.56,0.237660352197
2.561,0.221805639317
2.562,0.205398992421
2.563,0.191373362261
2.564,0.182869122907
2.565,0.181762977788
2.566,0.185874677782
2.567,0.187963776388
2.568,0.187380072155
2.569,0.184458696945
2.57,0.178400420242
2.571,0.175011341223
2.572,0.178099846641
2.573,0.18321259454
2.574,0.190409338048
2.575,0.201097424329
2.576,0.21134803368
2.577,0.224354465048
2.578,0.237211949283
2.579,0.249457232443
2.58,0.260342646492
2.581,0.267816135178
2.582,0.273208595006
2.583,0.277446548001
2.584,0.279447332104
2.585,0.279245449155
2.586,0.276527560015
2.587,0.273775640917
2.588,0.271312581235
2.589,0.268870721047
2.59,0.267064166254
2.591,0.266393096456
2.592,0.266561051306
2.593,0.267395422865
2.594,0.268243405172
2.595,0.267282715972
2.596,0.267709166177
2.597,0.268451203136
2.598,0.268006312256
2.599,0.268007591884
2.6,0.266423516417
2.601,0.264090762519
