Domain, Ia2
2.499,0.2451881228
2.5,0.245544316312
2.501,0.245478808699
2.502,0.24655167274
2.503,0.625555208683
2.504,1.19347547941
2.505,1.39741430813
2.506,1.42486949993
2.507,1.33112022734
2.508,1.06685461481
2.509,0.783948139633
2.51,0.685173905032
2.511,0.677326646068
2.512,0.685735071477
2.513,0.701695811677
2.514,0.693584948096
2.515,0.62328446565
2.516,0.536858783507
2.517,0.436760145045
2.518,0.332307092766
2.519,0.291417478534
2.52,0.309111211661
2.521,0.328379644431
2.522,0.320402077566
2.523,0.281596016904
2.524,0.185543218549
2.525,0.0262477775675
2.526,-0.16258602835
2.527,-0.308055997807
2.528,-0.376102457625
2.529,-0.369483560187
2.53,-0.32304923389
2.531,-0.294424858005
2.532,-0.312443620941
2.533,-0.334761349324
2.534,-0.344415751034
2.535,-0.273845501085
2.536,-0.140121601356
2.537,0.0215710469125
2.538,0.178238153773
2.539,0.267853913125
2.54,0.307738811572
2.541,0.327542251811
2.542,0.368155031833
2.543,0.414932237603
2.544,0.473127497708
2.545,0.515063341583
2.546,0.533217271
2.547,0.534337694928
2.548,0.527700934424
2.549,0.52550562596
2.55,0.520679405726
2.551,0.506010166079
2.552,0.490237422465
2.553,0.481383619479
2.554,0.480936752632
2.555,0.469686988565
2.556,0.442334715267
2.557,0.405745682031
2.558,0.351090595689
2.559,0.292223322663
2.56,0.257762916199
2.561,0.24912537015
2.562,0.24531312402
2.563,0.232115192294
2.564,0.209282007073
2.565,0.177998435634
2.566,0.145242459239
2.567,0.116388124513
2.568,0.10019214785
2.569,0.102841316413
2.57,0.105944006086
2.571,0.0972788596346
2.572,0.0853310805891
2.573,0.0806832741889
2.574,0.0795810091105
2.575,0.0982961806671
2.576,0.133405281884
2.577,0.168308987048
2.578,0.1921349472
2.579,0.21035691088
2.58,0.228268017853
2.581,0.249570601426
2.582,0.268571875879
2.583,0.287663499715
2.584,0.303421520523
2.585,0.311007460887
2.586,0.314410544227
2.587,0.313863431647
2.588,0.312998481194
2.589,0.313920599363
2.59,0.313310253331
2.591,0.308350488218
2.592,0.301757854091
2.593,0.297444260651
2.594,0.296726883036
2.595,0.294817083364
2.596,0.294144917393
2.597,0.290944593863
2.598,0.287336113703
2.599,0.286577484165
2.6,0.286640551941
2.601,0.287715594541
