Domain, Vbus
2.499,314.9567964
2.5,314.8278335
2.501,314.7925842
2.502,315.0637676
2.503,177.946147
2.504,28.69352074
2.505,7.814809034
2.506,-9.232118243
2.507,-42.76153871
2.508,-92.18539551
2.509,-107.8446179
2.51,-66.37301528
2.511,-83.85957205
2.512,-118.5452224
2.513,-138.9534407
2.514,-130.7287492
2.515,-93.58452563
2.516,-63.7666674
2.517,-26.31160261
2.518,7.977067829
2.519,34.52334667
2.52,26.73182856
2.521,9.243451639
2.522,-7.717965588
2.523,-23.9995224
2.524,-48.57956153
2.525,-82.3090406
2.526,-108.0761002
2.527,-115.2226926
2.528,-102.9653993
2.529,-74.06182635
2.53,-37.75238819
2.531,-2.095260926
2.532,29.70057699
2.533,54.00244057
2.534,78.66708021
2.535,100.804734
2.536,127.6319551
2.537,127.6625393
2.538,99.81173408
2.539,93.61904003
2.54,84.62045675
2.541,72.73514264
2.542,57.70182666
2.543,39.70620402
2.544,20.91799557
2.545,-2.246091458
2.546,-24.02493615
2.547,-39.4260697
2.548,-48.04283166
2.549,-50.22750685
2.55,-56.74274177
2.551,-60.67554866
2.552,-59.55774883
2.553,-50.06513338
2.554,-37.09820861
2.555,-25.83360154
2.556,-18.05660156
2.557,-7.284989504
2.558,1.687980692
2.559,7.106125937
2.56,10.45367555
2.561,7.012991223
2.562,-0.3408749
2.563,-7.618275281
2.564,-15.10871515
2.565,-19.34455743
2.566,-19.82228745
2.567,-17.25638461
2.568,-11.88893178
2.569,-6.007678275
2.57,1.799005343
2.571,12.36418406
2.572,22.41567879
2.573,25.03782623
2.574,26.08006039
2.575,25.96939556
2.576,25.16328685
2.577,24.15766865
2.578,20.40677629
2.579,21.24460923
2.58,21.19325696
2.581,20.32334756
2.582,18.22507285
2.583,14.61706769
2.584,11.01889917
2.585,3.560752721
2.586,-6.777053527
2.587,-15.86228237
2.588,-24.68061935
2.589,-29.11903056
2.59,-28.23519264
2.591,-25.63674802
2.592,-19.03576944
2.593,-8.975164459
2.594,0.467119631
2.595,7.616633276
2.596,13.01465466
2.597,15.20061832
2.598,14.41874757
2.599,11.68839347
2.6,6.672581771
2.601,2.199600586
