Domain, Ia2
2.499,0.245105669627
2.5,0.245247655873
2.501,0.408252335091
2.502,0.906970070028
2.503,1.17334121302
2.504,1.29554877823
2.505,1.33812553963
2.506,1.34120346645
2.507,1.32832286719
2.508,1.3152253748
2.509,1.27653115291
2.51,1.16956758078
2.511,0.986234177598
2.512,0.811797117782
2.513,0.73556289118
2.514,0.775216123355
2.515,0.880232832257
2.516,0.990565765684
2.517,1.07084333807
2.518,1.09880842538
2.519,1.06679991086
2.52,0.971896150105
2.521,0.812204944325
2.522,0.580374128368
2.523,0.279198571843
2.524,-0.0161123066406
2.525,-0.247473353986
2.526,-0.446117282162
2.527,-0.572752463963
2.528,-0.634283532863
2.529,-0.658099479381
2.53,-0.672778716861
2.531,-0.669966678976
2.532,-0.647548859468
2.533,-0.608093842961
2.534,-0.543010724872
2.535,-0.472041988925
2.536,-0.430362245125
2.537,-0.398868699385
2.538,-0.375920908396
2.539,-0.36139935883
2.54,-0.326085802894
2.541,-0.285135756551
2.542,-0.204730627245
2.543,-0.110728517191
2.544,-0.0058669377706
2.545,0.120439546188
2.546,0.229011940257
2.547,0.303943994066
2.548,0.35811529474
2.549,0.455638288473
2.55,0.56140639182
2.551,0.659096727128
2.552,0.729000008883
2.553,0.771012714211
2.554,0.796644047708
2.555,0.806913697076
2.556,0.808813257662
2.557,0.800468598473
2.558,0.77683587512
2.559,0.741569541077
2.56,0.699263172224
2.561,0.653957801286
2.562,0.60510481667
2.563,0.554123385448
2.564,0.500995956886
2.565,0.442436474193
2.566,0.388785792751
2.567,0.334280863551
2.568,0.282212536652
2.569,0.244192616654
2.57,0.218886266364
2.571,0.196676415196
2.572,0.163061707243
2.573,0.119476583881
2.574,0.0788842064692
2.575,0.0416125946538
2.576,0.0156912934684
2.577,-1.73926959968e-05
2.578,-0.00748446407528
2.579,-0.0112258763467
2.58,-0.0067542786181
2.581,0.00545569215664
2.582,0.0293393746069
2.583,0.0619428327029
2.584,0.0933169666325
2.585,0.131230590965
2.586,0.16443297028
2.587,0.187871823725
2.588,0.204368822763
2.589,0.214399291861
2.59,0.227289852661
2.591,0.23905137934
2.592,0.25057025091
2.593,0.262190816533
2.594,0.274520825198
2.595,0.290032763887
2.596,0.313545023073
2.597,0.341949003014
2.598,0.369862210756
2.599,0.391876697953
2.6,0.402147964338
2.601,0.408227881506
