Domain, Vbus
2.499,314.756084284
2.5,314.754818363
2.501,314.701949324
2.502,314.078455464
2.503,-100.002483484
2.504,-45.6845312007
2.505,-11.1525994431
2.506,-8.00564862841
2.507,19.3887659272
2.508,107.627909184
2.509,-11.6102348005
2.51,-98.878258953
2.511,-126.183829685
2.512,-150.423984187
2.513,-148.751672812
2.514,-41.1843401773
2.515,34.3564737884
2.516,60.4668023111
2.517,68.143701414
2.518,38.9433388055
2.519,-35.8713644161
2.52,-81.9947742056
2.521,-94.367959683
2.522,-89.7594903866
2.523,-58.8710066068
2.524,-18.2505623472
2.525,-12.4714275302
2.526,-38.7670131095
2.527,-70.7552717828
2.528,-102.55641929
2.529,-113.608149189
2.53,-83.4719013348
2.531,-26.9365203321
2.532,24.9155316633
2.533,65.621074698
2.534,80.044668495
2.535,74.4848046924
2.536,61.2922815391
2.537,57.2830585015
2.538,62.6562870231
2.539,68.6653093799
2.54,69.6874127281
2.541,59.1013197895
2.542,42.0076204855
2.543,20.4774000233
2.544,7.00226449986
2.545,3.03452747507
2.546,6.38251761711
2.547,11.2989178075
2.548,16.120339521
2.549,16.0227397414
2.55,9.99919316548
2.551,1.11146612361
2.552,-8.36777635433
2.553,-15.4412979031
2.554,-16.5932071446
2.555,-14.5786626083
2.556,-12.2295182486
2.557,-10.1275992559
2.558,-14.8445077985
2.559,-25.3621661635
2.56,-32.6876430292
2.561,-32.9532309217
2.562,-28.3966524873
2.563,-18.1849456999
2.564,-4.30998819283
2.565,2.68813948871
2.566,0.841867986186
2.567,-6.5223721622
2.568,-14.9846099613
2.569,-20.6941120173
2.57,-20.5972072924
2.571,-15.8942991081
2.572,-7.92443852688
2.573,1.06125800054
2.574,7.21912803496
2.575,12.6242254457
2.576,19.0488931696
2.577,23.9615053705
2.578,24.8993421809
2.579,24.0177226622
2.58,20.5476933639
2.581,14.2527804032
2.582,7.79760744046
2.583,5.04031320725
2.584,4.68558045415
2.585,4.95078336919
2.586,5.99893044179
2.587,6.64266689736
2.588,5.45741903945
2.589,2.99101993378
2.59,0.605395209583
2.591,-2.22805702524
2.592,-4.80907052226
2.593,-5.23823801926
2.594,-4.1037860998
2.595,-2.69327138707
2.596,0.418763969934
2.597,2.85248766415
2.598,3.38100540081
2.599,3.11927686948
2.6,2.34395628896
2.601,0.554567444927
