Domain, Vbus
2.499,314.869291142
2.5,314.867655494
2.501,26.6348246582
2.502,52.1368342148
2.503,17.3582819881
2.504,14.4824437349
2.505,14.88836934
2.506,13.5991839301
2.507,12.5177370595
2.508,12.3089043393
2.509,9.10124166636
2.51,2.86684121121
2.511,0.00832805127145
2.512,2.97071449811
2.513,8.72580157064
2.514,13.4241244938
2.515,15.6893823964
2.516,15.828755303
2.517,14.343283796
2.518,11.1195143081
2.519,7.34662803688
2.52,2.72614131831
2.521,-3.43637612764
2.522,-10.7270076497
2.523,-16.3395306867
2.524,-18.5629298299
2.525,-18.2345687634
2.526,-13.2974005648
2.527,-11.3542233766
2.528,-10.1136450246
2.529,-9.49314607408
2.53,-8.48395175889
2.531,-7.78209679987
2.532,-5.13492021472
2.533,-4.85496684385
2.534,-6.25816709246
2.535,-3.63155610867
2.536,-3.78076580507
2.537,-5.78975630288
2.538,-4.73858367649
2.539,-3.13554765627
2.54,-2.19905433625
2.541,-2.20172316575
2.542,-0.0298177490516
2.543,3.60818869789
2.544,4.54916572368
2.545,5.07334283527
2.546,3.48062408983
2.547,3.69033706645
2.548,5.17742506678
2.549,7.99407826026
2.55,8.98430173299
2.551,8.94142776722
2.552,8.18248034814
2.553,7.32383945904
2.554,7.69550769376
2.555,7.09354416406
2.556,5.94857484639
2.557,5.46769648034
2.558,4.40098772293
2.559,3.52490075099
2.56,3.30817040975
2.561,2.1152926656
2.562,1.47159992053
2.563,0.905736309915
2.564,0.312254650902
2.565,-0.494166066168
2.566,-0.643925642171
2.567,-0.876611003057
2.568,-2.27323870944
2.569,-1.87699427878
2.57,-1.04199968939
2.571,-1.40307031279
2.572,-1.83991363685
2.573,-2.1777451072
2.574,-2.68050602821
2.575,-2.67594541851
2.576,-2.62448896571
2.577,-2.19248662656
2.578,-2.13995200931
2.579,-2.42964475916
2.58,-2.38469354021
2.581,-1.47544623561
2.582,-0.949615265673
2.583,-0.662510680341
2.584,-0.560479139352
2.585,0.376359450386
2.586,0.349911745122
2.587,-0.110618212175
2.588,0.177174431855
2.589,0.361448070662
2.59,0.576150448321
2.591,0.728609404187
2.592,0.813344328974
2.593,0.914821199125
2.594,1.01612911289
2.595,1.23054474417
2.596,1.23899150498
2.597,1.30569168345
2.598,1.18660104347
2.599,1.22443007239
2.6,1.04625216213
2.601,1.06215482878
